Perioden;Regios;Tot lopend 0-20;Tot gesloten 0-20;0-20;Tot lopend 20-40;Tot gesloten 20-40;20-40;Tot lopend 40-60;Tot gesloten 40-60;40-60;Tot lopend 60-80;Tot gesloten 60-80;60-80;Tot lopend 80-ouder;Tot gesloten 80-ouder;80-ouder
2014;Utrecht;0;0;0;10;5;15;60;35;95;365;280;645;450;355;805
2014;Noord-Holland;0;0;0;5;5;10;65;50;115;1835;1290;3125;3340;2555;5895
2014;Zuid-Holland;0;0;0;10;10;20;70;55;125;1060;815;1875;2210;1750;3960
2014;Zeeland;0;0;0;0;0;0;10;10;20;145;105;250;210;145;355
2014;Noord-Brabant;0;0;0;5;0;5;90;65;155;1285;950;2235;1530;1225;2755
2014;Limburg;0;0;0;5;5;10;40;25;65;795;550;1345;1245;915;2160
2015;Nederland;0;0;0;40;25;65;415;285;700;6680;4845;11525;9920;7570;17490
2015;Groningen;0;0;0;0;0;0;40;25;65;820;605;1425;1370;1035;2405
2015;Friesland;0;0;0;0;0;0;10;5;15;70;60;130;55;50;105
2015;Drenthe;0;0;0;5;0;5;15;15;30;410;300;710;550;435;985
2015;Overijssel;0;0;0;0;0;0;25;15;40;295;220;515;370;290;660
2015;Flevoland;0;0;0;0;0;0;5;5;10;85;65;150;50;30;80
2015;Gelderland;0;0;0;0;0;0;30;20;50;405;275;680;515;380;895
2015;Utrecht;0;0;0;15;10;25;60;40;100;320;215;535;375;280;655
2015;Noord-Holland;0;0;0;5;5;10;55;40;95;1450;1105;2555;2420;1915;4335
2015;Zuid-Holland;0;0;0;5;5;10;65;40;105;1010;690;1700;1870;1405;3275
2015;Zeeland;0;0;0;0;0;0;0;0;0;65;60;125;95;95;190
2015;Noord-Brabant;0;0;0;5;0;5;70;55;125;1045;755;1800;1215;930;2145
2015;Limburg;0;0;0;0;0;0;30;25;55;700;495;1195;1035;720;1755
2016;Nederland;0;0;0;55;40;95;360;245;605;5490;4080;9570;8055;6285;14340
2016;Groningen;0;0;0;5;0;5;25;25;50;515;500;1015;845;845;1690
2016;Friesland;0;0;0;0;0;0;15;5;20;85;80;165;40;40;80
2016;Drenthe;0;0;0;5;5;10;20;10;30;345;255;600;385;325;710
2016;Overijssel;0;0;0;0;0;0;20;15;35;250;155;405;325;230;555
2016;Flevoland;0;0;0;0;0;0;5;5;10;55;35;90;50;35;85
2016;Gelderland;0;0;0;5;5;10;30;25;55;445;325;770;550;415;965
2016;Utrecht;0;0;0;20;20;40;55;40;95;280;185;465;350;220;570
2016;Noord-Holland;0;0;0;5;5;10;50;35;85;1100;780;1880;1760;1260;3020
2016;Zuid-Holland;0;0;0;5;5;10;55;45;100;980;685;1665;1890;1465;3355
2016;Zeeland;0;0;0;5;5;10;0;0;0;20;20;40;5;5;10
2016;Noord-Brabant;0;0;0;5;5;10;60;35;95;925;695;1620;1045;805;1850
2016;Limburg;0;0;0;0;0;0;25;15;40;495;370;865;820;650;1470
