Regios;Perioden;Totaal aantal lopend;Tot per 100.000 inwoners lopend;Totaal aantal gesloten;Tot per 100.000 inwoners gesloten;Totaal aantal mannen lopend;Tot per 100.000 inwoners mannen lopend;Totaal aantal mannen gesloten;Tot per 100.000 inwoners mannen gesloten;Totaal aantal vrouwen lopend;Tot per 100.000 inwoners vrouwen lopend;Totaal aantal vrouwen gesloten;Tot per 100.000 inwoners vrouwen gesloten;Tot lopend 0-20;Tot per 100.000 inwoners lopend 0-20;Tot gesloten 0-20;Tot per 100.000 inwoners gesloten 0-20;Tot lopend 20-40;Tot per 100.000 inwoners lopend 20-40;Tot gesloten 20-40;Tot per 100.000 inwoners gesloten 20-40;Tot lopend 40-60;Tot per 100.000 inwoners lopend 40-60;Tot gesloten 40-60;Tot per 100.000 inwoners gesloten 40-60;Tot lopend 60-80;Tot per 100.000 inwoners lopend 60-80;Tot gesloten 60-80;Tot per 100.000 inwoners gesloten 60-80;Tot lopend 80-ouder;Tot per 100.000 inwoners lopend 80-ouder;Tot gesloten 80-ouder;Tot per 100.000 inwoners gesloten 80-ouder;Tot lopend mannen 0-20;Tot per 100.000 inwoners lopend mannen 0-20;Tot gesloten mannen 0-20;Tot per 100.000 inwoners gesloten mannen 0-20;Tot lopend mannen 20-40;Tot per 100.000 inwoners lopend mannen 20-40;Tot gesloten mannen 20-40;Tot per 100.000 inwoners gesloten mannen 20-40;Tot lopend mannen 40-60;Tot per 100.000 inwoners lopend mannen 40-60;Tot gesloten mannen 40-60;Tot per 100.000 inwoners gesloten mannen 40-60;Tot lopend mannen 60-80;Tot per 100.000 inwoners lopend mannen 60-80;Tot gesloten mannen 60-80;Tot per 100.000 inwoners gesloten mannen 60-80;Tot lopend mannen 80-ouder;Tot per 100.000 inwoners lopend mannen 80-ouder;Tot gesloten mannen 80-ouder;Tot per 100.000 inwoners gesloten mannen 80-ouder;Tot lopend vrouwen 0-20;Tot per 100.000 inwoners lopend vrouwen 0-20;Tot gesloten vrouwen 0-20;Tot per 100.000 inwoners gesloten vrouwen 0-20;Tot lopend vrouwen 20-40;Tot per 100.000 inwoners lopend vrouwen 20-40;Tot gesloten vrouwen 20-40;Tot per 100.000 inwoners gesloten vrouwen 20-40;Tot lopend vrouwen 40-60;Tot per 100.000 inwoners lopend vrouwen 40-60;Tot gesloten vrouwen 40-60;Tot per 100.000 inwoners gesloten vrouwen 40-60;Tot lopend vrouwen 60-80;Tot per 100.000 inwoners lopend vrouwen 60-80;Tot gesloten vrouwen 60-80;Tot per 100.000 inwoners gesloten vrouwen 60-80;Tot lopend vrouwen 80-ouder;Tot per 100.000 inwoners lopend vrouwen 80-ouder;Tot gesloten vrouwen 80-ouder;Tot per 100.000 inwoners gesloten vrouwen 80-ouder;65+ totaal;80+ totaal;65+ mannen;80+ mannen;65+ vrouwen;80+ vrouwen
Limburg;2010;3375;301;2490;222;1265;227;930;167;2110;373;1560;275;0;0;0;0;5;3;0;0;75;21;45;13;1305;537;940;386;1985;3763;1500;2844;0;0;0;0;5;2;0;0;35;19;20;12;575;485;420;355;650;3609;485;2696;0;0;0;0;5;2;0;0;40;23;25;14;730;588;515;416;1335;3843;1015;2922;201691;46974;89075;15785;112616;31189
Limburg;2011;3120;278;2260;201;1175;211;845;152;1940;343;1410;249;5;1;0;0;15;6;5;2;90;26;80;22;1135;456;795;320;1875;3425;1380;2519;0;0;0;0;10;6;5;5;30;16;20;12;505;414;355;292;635;3335;460;2426;5;3;0;0;5;6;0;0;65;36;55;32;630;498;440;346;1240;3470;915;2568;207299;49057;92279;16887;115020;32170
Limburg;2012;2590;231;1880;167;990;178;710;128;1600;283;1170;207;5;1;5;1;15;6;10;4;65;19;40;11;955;376;660;260;1550;2731;1170;2059;0;0;0;0;0;0;0;0;40;23;25;14;420;334;290;233;530;2633;395;1960;5;3;5;3;10;10;5;6;25;15;15;9;540;417;370;285;1020;2784;775;2113;214873;50930;96491;17803;118382;33127
Limburg;2013;2440;218;1690;151;950;171;645;116;1490;264;1050;186;0;0;0;0;10;3;10;3;60;18;45;13;955;368;645;249;1420;2425;995;1698;0;0;0;0;0;0;0;0;20;12;15;9;440;343;285;221;495;2356;345;1641;0;0;0;0;10;7;10;7;40;24;30;18;515;392;360;276;925;2463;650;1728;222270;52647;100516;18723;121754;33924
Limburg;2014;2080;186;1500;134;820;148;590;106;1260;224;905;161;0;0;0;0;5;2;5;2;40;11;25;8;795;300;550;209;1245;2060;915;1514;0;0;0;0;0;0;0;0;15;9;10;5;395;303;280;214;410;1862;300;1370;0;0;0;0;5;5;5;5;20;13;15;10;395;298;270;202;835;2173;615;1596;229060;54399;104500;19616;124560;34783
Limburg;2015;1765;158;1240;111;670;121;465;84;1095;195;775;138;0;0;0;0;0;0;0;0;30;9;25;8;700;260;495;184;1035;1672;720;1159;0;0;0;0;0;0;0;0;10;7;10;5;320;240;235;175;340;1486;225;975;0;0;0;0;0;0;0;0;20;11;15;9;380;279;260;192;695;1780;495;1267;236139;56269;108511;20567;127628;35702
Limburg;2016;1340;120;1030;92;500;90;385;70;840;149;645;114;0;0;0;0;0;0;0;0;25;8;15;4;495;181;370;134;820;1282;650;1019;0;0;0;0;0;0;0;0;10;6;5;4;215;159;155;115;270;1145;225;947;0;0;0;0;0;0;0;0;15;9;5;4;280;202;210;154;545;1364;425;1062;241731;57375;111651;21298;130080;36077
Nederland;2009;34860;211;23450;142;13405;164;9045;111;21460;257;14405;173;10;0;5;0;110;3;95;2;885;18;605;12;12980;435;8430;282;20870;3056;14315;2096;10;0;5;0;70;3;60;3;505;21;340;14;6025;418;3955;274;6795;2933;4680;2020;5;0;0;0;45;2;35;2;380;16;260;11;6955;451;4475;290;14075;3119;9635;2135;2454973;614366;1069079;206931;1385894;407435
Nederland;2010;34080;205;25070;151;13230;161;9700;118;20855;248;15375;183;15;0;15;0;100;2;70;2;855;18;625;13;12315;403;8760;287;20795;2958;15605;2220;10;1;10;0;60;3;40;2;480;20;355;15;5770;390;4145;280;6905;2852;5150;2127;5;0;5;0;40;2;25;1;375;15;265;11;6540;415;4620;293;13890;3013;10455;2268;2520362;630028;1105479;215086;1414883;414942
Nederland;2011;31405;188;22870;137;12560;152;9160;111;18845;224;13705;163;20;0;15;0;115;3;95;2;845;17;630;13;11385;364;8020;257;19035;2636;14110;1955;10;1;10;1;75;4;65;3;450;18;330;13;5480;361;3885;256;6540;2592;4875;1932;5;0;5;0;40;2;30;1;395;16;300;12;5905;368;4135;257;12495;2660;9240;1967;2576474;649075;1137484;225109;1438990;423966
Nederland;2012;26210;156;19360;116;10540;127;7895;95;15670;185;11465;136;10;0;5;0;70;2;55;1;655;13;470;10;9635;301;6845;214;15840;2138;11985;1618;5;0;5;0;40;2;30;1;390;16;290;12;4635;297;3360;216;5470;2084;4210;1603;5;0;5;0;30;1;20;1;265;11;180;7;5005;305;3480;212;10370;2168;7780;1626;2697115;666762;1202470;234859;1494645;431903
Nederland;2013;25975;155;17820;106;10395;125;7125;86;15580;184;10695;126;5;0;5;0;55;1;45;1;625;13;455;9;9820;300;6460;197;15465;2047;10860;1438;0;0;0;0;35;2;25;1;340;14;245;10;4655;292;3065;192;5365;1978;3785;1396;5;0;0;0;25;1;20;1;290;12;210;9;5165;308;3390;202;10100;2086;7075;1461;2804624;683099;1260031;243997;1544593;439102
Nederland;2014;21070;125;15630;93;8600;103;6320;76;12475;147;9310;109;0;0;0;0;45;1;35;1;490;10;350;7;7995;239;5700;170;12540;1623;9545;1235;0;0;0;0;25;1;20;1;280;12;200;8;3875;237;2760;169;4420;1569;3345;1188;0;0;0;0;20;1;15;1;205;8;155;6;4120;241;2940;172;8125;1654;6200;1262;2899106;697171;1311279;252459;1587827;444712
Nederland;2015;17055;101;12725;75;7110;85;5310;63;9945;116;7415;87;0;0;0;0;40;1;25;1;415;9;285;6;6680;195;4845;142;9920;1257;7570;959;0;0;0;0;20;1;15;1;240;10;170;7;3310;198;2410;144;3540;1212;2710;928;0;0;0;0;20;1;10;0;175;7;115;5;3370;193;2435;139;6380;1283;4860;977;2986988;714279;1359176;262521;1627812;451758
Nederland;2016;13955;82;10655;63;5790;69;4420;52;8170;95;6235;73;0;0;0;0;55;1;40;1;360;7;245;5;5490;157;4080;117;8055;1000;6285;780;0;0;0;0;30;1;20;1;200;8;140;6;2650;155;2000;117;2905;962;2260;748;0;0;0;0;25;1;20;1;155;7;105;4;2840;159;2080;117;5145;1023;4025;800;3062860;726300;1401220;271176;1661640;455124
Noord-Brabant;2009;4845;199;3185;131;1900;156;1225;100;2945;241;1965;161;0;0;0;0;5;1;5;1;130;18;90;12;1970;427;1250;271;2740;2945;1840;1979;0;0;0;0;5;1;5;1;75;20;50;13;940;416;595;263;885;2774;575;1809;0;0;0;0;5;1;0;0;55;15;40;11;1030;437;660;279;1855;3034;1265;2066;369848;83012;164036;28068;205812;54944
Noord-Brabant;2010;4695;192;3500;143;1855;152;1390;114;2845;232;2110;172;0;0;0;0;10;2;0;0;95;13;70;10;1870;395;1350;285;2720;2803;2080;2141;0;0;0;0;5;1;0;0;55;14;35;10;865;375;630;273;930;2752;720;2136;0;0;0;0;5;1;0;0;45;12;35;9;1005;415;715;297;1790;2828;1355;2143;381075;86351;170123;29653;210952;56698
Noord-Brabant;2011;4485;182;3235;132;1810;147;1305;106;2680;217;1930;157;0;0;0;0;15;3;15;2;100;13;75;10;1820;376;1275;263;2550;2519;1875;1849;0;0;0;0;10;4;10;3;55;14;40;11;855;361;600;254;890;2480;650;1819;0;0;0;0;5;2;5;1;45;12;35;9;965;391;670;272;1665;2540;1220;1865;393195;90199;176598;31522;216597;58677
Noord-Brabant;2012;3740;152;2685;109;1555;126;1130;92;2185;177;1560;126;0;0;0;0;10;2;5;1;80;11;60;8;1570;318;1090;220;2080;1968;1535;1453;0;0;0;0;5;2;0;0;50;13;35;9;755;311;540;222;745;1956;555;1456;0;0;0;0;5;1;5;1;35;9;25;7;810;323;550;218;1335;1975;980;1452;410151;94185;185675;33502;224476;60683
Noord-Brabant;2013;3585;145;2610;105;1500;121;1100;89;2085;168;1510;122;0;0;0;0;10;2;5;1;85;12;60;8;1555;308;1065;211;1935;1769;1480;1350;0;0;0;0;5;2;5;1;50;13;35;9;730;294;510;204;710;1781;555;1388;0;0;0;0;5;1;5;1;35;10;25;7;820;322;555;218;1225;1761;925;1327;426697;98088;194459;35505;232238;62583
Noord-Brabant;2014;2910;117;2250;90;1220;98;930;75;1690;136;1315;106;0;0;0;0;5;1;0;0;90;13;65;9;1285;250;950;185;1530;1350;1225;1081;0;0;0;0;0;0;0;0;50;14;40;11;600;236;440;173;565;1348;450;1075;0;0;0;0;0;0;0;0;40;11;30;8;685;262;510;196;965;1351;775;1086;442345;101819;203029;37396;239316;64423
Noord-Brabant;2015;2340;94;1740;70;985;79;730;59;1355;109;1010;81;0;0;0;0;5;1;0;0;70;10;55;7;1045;200;755;144;1215;1037;930;793;0;0;0;0;5;2;0;0;45;12;30;8;490;189;355;137;445;1013;340;775;0;0;0;0;0;0;0;0;30;8;25;6;555;210;395;150;770;1052;590;804;457145;105626;210977;39377;246168;66249
Noord-Brabant;2016;2035;81;1540;61;885;71;665;53;1150;92;870;70;0;0;0;0;5;1;5;1;60;8;35;5;925;173;695;130;1045;865;805;665;0;0;0;0;5;1;0;0;40;12;25;7;445;169;340;129;395;851;295;643;0;0;0;0;5;1;0;0;15;4;10;3;480;177;350;130;650;874;505;678;469856;108726;217791;41225;252065;67501
Noord-Holland;2009;8495;320;5155;194;3275;250;1995;153;5225;387;3160;234;0;0;0;0;10;2;10;1;150;19;95;12;2900;631;1670;363;5435;5008;3380;3114;0;0;0;0;10;2;5;1;95;24;55;14;1365;617;800;361;1805;4895;1135;3081;0;0;0;0;5;1;5;1;55;14;40;10;1535;643;870;366;3630;5066;2240;3131;376212;98138;163028;33126;213184;65012
Noord-Holland;2010;8430;315;6080;227;3335;253;2380;180;5100;375;3700;272;0;0;0;0;10;2;10;1;125;16;90;11;2860;606;1980;420;5435;4902;4000;3610;0;0;0;0;5;2;5;2;80;20;60;15;1380;608;955;421;1865;4869;1360;3550;0;0;0;0;5;1;5;1;45;12;30;7;1475;605;1020;419;3570;4920;2645;3641;386362;99917;168707;34271;217655;65646
Noord-Holland;2011;8580;318;6070;225;3520;265;2515;189;5060;369;3555;259;0;0;0;0;10;1;10;1;145;18;95;12;2900;602;1965;407;5525;4886;4000;3537;0;0;0;0;5;1;5;1;85;21;55;14;1440;618;985;424;1990;5028;1465;3700;0;0;0;0;5;1;5;1;55;14;40;10;1460;587;975;392;3535;4808;2535;3449;393912;102109;173096;35567;220816;66542
Noord-Holland;2012;6720;247;5045;186;2735;205;2075;155;3980;289;2970;215;0;0;0;0;5;1;5;1;115;14;85;10;2280;462;1670;338;4315;3746;3290;2856;0;0;0;0;5;1;5;1;65;16;50;12;1100;460;810;338;1565;3830;1215;2969;0;0;0;0;0;0;0;0;50;12;35;9;1180;464;860;337;2750;3701;2075;2796;413838;104165;183730;36824;230108;67341
Noord-Holland;2013;7325;268;4585;168;3015;224;1865;139;4310;311;2720;196;0;0;0;0;5;1;5;1;125;16;80;10;2535;501;1520;300;4660;3999;2980;2559;0;0;0;0;5;1;5;1;70;17;45;11;1190;485;710;289;1750;4185;1105;2644;0;0;0;0;0;0;0;0;55;14;35;9;1345;517;810;311;2905;3894;1875;2511;431319;105789;193209;37947;238110;67842
Noord-Holland;2014;5250;191;3900;142;2230;165;1630;120;3020;216;2270;162;0;0;0;0;5;1;5;1;65;8;50;6;1835;355;1290;250;3340;2823;2555;2158;0;0;0;0;5;1;5;1;35;9;30;8;905;361;620;247;1280;2969;975;2268;0;0;0;0;0;0;0;0;30;7;20;5;930;349;670;252;2060;2740;1575;2095;446126;107160;201114;38881;245012;68279
Noord-Holland;2015;3935;142;3060;110;1740;128;1350;99;2190;156;1710;122;0;0;0;0;5;1;5;1;55;7;40;5;1450;274;1105;208;2420;2014;1915;1593;0;0;0;0;5;1;5;1;35;9;25;6;775;302;590;230;930;2088;735;1651;0;0;0;0;5;1;0;0;20;5;15;4;675;249;510;188;1495;1970;1180;1560;459696;108937;208367;40138;251329;68799
Noord-Holland;2016;2915;104;2075;74;1300;94;935;68;1615;114;1140;81;0;0;0;0;5;1;5;1;50;6;35;4;1100;204;780;144;1760;1445;1260;1033;0;0;0;0;0;0;0;0;30;7;20;5;585;222;425;161;685;1493;490;1074;0;0;0;0;5;1;5;1;20;5;15;4;515;186;360;129;1075;1415;765;1007;471572;110176;214889;41180;256683;68996
Overijssel;2009;1820;161;1110;98;695;124;430;77;1125;199;675;120;0;0;0;0;0;0;0;0;60;18;35;11;865;429;515;255;895;1961;560;1222;0;0;0;0;0;0;0;0;35;20;20;13;365;374;220;227;300;1928;185;1210;0;0;0;0;0;0;0;0;25;15;15;9;500;479;290;279;600;1979;370;1229;167885;41030;73005;13725;94880;27305
Overijssel;2010;1890;167;1345;119;755;133;525;93;1135;200;820;145;0;0;0;0;5;1;0;0;50;16;40;12;815;398;565;274;1020;2151;740;1560;0;0;0;0;5;2;0;0;30;18;25;15;365;365;240;242;360;2235;255;1591;0;0;0;0;0;0;0;0;20;14;15;10;455;429;320;304;655;2108;480;1543;172166;42300;75452;14372;96714;27928
Overijssel;2011;1745;154;1230;108;735;129;530;94;1010;178;700;123;0;0;0;0;5;2;5;1;40;13;25;8;750;357;535;254;950;1943;665;1362;0;0;0;0;5;3;5;3;25;15;15;10;345;337;240;237;355;2102;270;1578;0;0;0;0;0;0;0;0;15;10;10;7;405;375;290;270;590;1859;395;1247;175943;43802;77625;15038;98318;28764
Overijssel;2012;1470;129;1100;96;595;104;460;81;875;154;635;112;0;0;0;0;0;0;0;0;35;11;25;8;590;275;405;190;845;1678;665;1320;0;0;0;0;0;0;0;0;25;16;20;13;275;263;195;186;290;1626;245;1378;0;0;0;0;0;0;0;0;5;4;5;3;315;286;210;192;555;1706;420;1291;183391;45234;81720;15860;101671;29374
Overijssel;2013;1460;128;1015;89;585;103;400;71;875;153;610;107;0;0;0;0;0;0;0;0;35;11;25;7;640;292;420;192;780;1517;570;1105;0;0;0;0;0;0;0;0;25;16;20;11;315;293;205;192;245;1329;175;964;0;0;0;0;0;0;0;0;10;6;5;4;325;291;210;190;535;1622;390;1184;190272;46506;85437;16489;104835;30017
Overijssel;2014;985;86;735;65;425;74;305;53;560;98;435;76;0;0;0;0;0;0;0;0;30;9;20;6;415;187;300;135;540;1025;415;793;0;0;0;0;0;0;0;0;20;12;15;8;210;192;145;133;195;1026;145;763;0;0;0;0;0;0;0;0;10;6;5;4;205;181;155;136;345;1024;275;813;196151;47647;88659;17097;107492;30550
Overijssel;2015;690;60;530;46;320;56;250;44;370;65;280;49;0;0;0;0;0;0;0;0;25;8;15;5;295;129;220;98;370;686;290;543;0;0;0;0;0;0;0;0;15;9;10;7;160;144;125;112;145;737;115;579;0;0;0;0;0;0;0;0;10;7;5;4;135;115;95;84;225;657;175;519;201173;48713;91530;17723;109643;30990
Overijssel;2016;595;52;400;35;260;45;180;31;335;59;220;39;0;0;0;0;0;0;0;0;20;7;15;5;250;107;155;66;325;593;230;423;0;0;0;0;0;0;0;0;10;7;10;6;120;107;80;71;125;607;90;440;0;0;0;0;0;0;0;0;10;6;5;4;125;108;75;63;200;581;140;413;205821;49487;94102;18329;111719;31158
Utrecht;2009;1835;151;1340;110;765;129;575;96;1075;173;770;124;5;2;0;0;50;15;45;14;115;33;90;27;720;373;520;269;945;2074;680;1498;5;4;0;0;35;20;30;19;75;43;60;34;325;356;240;261;325;2135;240;1580;0;0;0;0;20;12;15;9;40;22;35;19;395;388;280;274;620;2044;440;1457;158692;40937;67667;13553;91025;27384
Utrecht;2010;1660;135;1290;105;695;116;540;90;965;154;750;120;15;5;10;4;45;13;35;10;115;33;100;28;650;327;490;246;835;1782;660;1414;10;6;5;5;30;17;20;13;75;44;65;38;305;321;225;238;275;1754;220;1393;5;3;5;3;15;9;10;7;40;23;30;18;345;332;265;254;555;1796;440;1425;163137;41909;70118;14075;93019;27834
Utrecht;2011;1525;124;1185;96;645;107;505;84;880;139;680;108;5;2;5;2;45;13;40;13;115;32;100;28;570;281;435;214;785;1644;600;1253;5;3;5;3;25;16;25;15;65;37;60;33;285;292;215;223;265;1600;200;1225;0;0;0;0;20;11;15;10;50;28;40;23;290;270;220;207;525;1667;400;1272;166421;43131;71985;14714;94436;28417
Utrecht;2012;1415;114;1055;85;615;101;475;78;805;127;575;91;5;2;5;1;25;7;20;6;80;23;65;19;570;272;405;194;740;1505;560;1140;5;2;5;2;15;9;15;8;60;34;50;28;270;271;210;210;260;1530;200;1173;0;0;0;0;5;4;5;4;20;12;15;10;300;273;195;179;475;1488;360;1122;175068;44184;76507;15402;98561;28782
Utrecht;2013;1265;101;975;78;525;86;415;68;740;116;560;88;0;0;0;0;15;5;10;4;70;19;55;16;500;234;370;171;680;1357;535;1075;0;0;0;0;15;8;10;7;45;26;40;23;225;217;160;156;240;1365;200;1132;0;0;0;0;0;0;0;0;25;13;15;8;280;248;205;185;435;1354;335;1044;182647;45241;80462;15970;102185;29271
Utrecht;2014;890;71;680;54;385;63;290;47;505;79;390;61;0;0;0;0;10;3;5;2;60;17;35;10;365;166;280;128;450;884;355;694;0;0;0;0;10;6;5;4;45;25;25;15;170;161;130;125;160;885;125;688;0;0;0;0;0;0;0;0;15;9;10;6;195;172;150;131;290;884;230;697;189141;46080;83749;16441;105392;29639
Utrecht;2015;770;61;550;43;350;56;260;42;420;65;290;45;0;0;0;0;15;4;10;3;60;17;40;11;320;142;215;96;375;718;280;543;0;0;0;0;10;5;5;4;40;23;30;17;170;155;115;107;135;705;105;562;0;0;0;0;5;4;5;2;20;10;10;6;155;131;100;86;240;725;175;532;195169;47023;86988;17033;108181;29990
Utrecht;2016;705;55;460;36;285;45;180;29;420;64;280;43;0;0;0;0;20;6;20;6;55;15;40;11;280;121;185;80;350;656;220;411;0;0;0;0;10;5;10;5;25;15;25;13;130;117;90;81;120;607;55;291;0;0;0;0;10;6;10;6;30;16;15;8;150;126;95;80;230;684;160;481;200895;47739;90115;17483;110780;30256
Zeeland;2009;795;208;545;142;345;181;230;122;450;235;315;163;0;0;0;0;5;4;5;4;20;18;15;12;305;384;205;256;465;2253;325;1565;0;0;0;0;0;0;0;0;10;18;5;9;160;415;110;287;170;2293;115;1524;0;0;0;0;5;7;5;7;10;18;10;14;145;352;95;227;295;2231;210;1588;68184;18552;30444;6669;37740;11883
Zeeland;2010;835;219;620;163;340;180;250;133;495;258;370;193;0;0;0;0;5;6;0;0;30;28;25;24;320;394;235;290;475;2257;355;1684;0;0;0;0;0;0;0;0;15;25;10;22;155;391;110;275;170;2200;130;1676;0;0;0;0;5;10;0;0;15;30;15;27;165;398;125;304;310;2297;230;1689;70102;18969;31429;6860;38673;12109
Zeeland;2011;740;194;570;149;330;174;240;128;410;213;325;170;0;0;0;0;5;4;5;4;20;20;15;14;270;324;205;245;445;2069;345;1604;0;0;0;0;0;0;0;0;10;20;5;13;155;378;115;285;165;2093;120;1522;0;0;0;0;5;8;5;8;10;20;10;18;115;273;90;207;280;2055;225;1652;71804;19382;32394;7065;39410;12317
Zeeland;2012;475;125;375;98;220;116;180;95;255;133;195;101;0;0;0;0;0;0;0;0;10;11;10;8;185;217;145;171;280;1280;220;1006;0;0;0;0;0;0;0;0;5;9;5;7;105;248;80;197;110;1388;95;1165;0;0;0;0;0;0;0;0;5;13;5;9;80;187;65;148;170;1218;125;913;74887;19729;34075;7308;40812;12421
Zeeland;2013;380;100;250;66;175;92;115;60;210;109;140;72;0;0;0;0;0;0;0;0;10;9;10;7;155;177;100;118;220;993;140;639;0;0;0;0;0;0;0;0;5;7;0;0;80;186;55;127;90;1095;55;694;0;0;0;0;0;0;0;0;5;9;5;9;75;170;50;109;130;932;85;607;77656;19977;35491;7455;42165;12522
Zeeland;2014;370;97;260;68;165;87;115;61;205;106;145;75;0;0;0;0;0;0;0;0;10;9;10;8;145;167;105;117;210;941;145;651;0;0;0;0;0;0;0;0;5;7;5;7;80;187;55;125;80;950;55;677;0;0;0;0;0;0;0;0;5;11;5;9;65;147;50;109;130;935;90;628;79877;20173;36642;7599;43235;12574
Zeeland;2015;160;42;155;41;75;39;70;36;90;46;85;45;0;0;0;0;0;0;0;0;0;0;0;0;65;72;60;67;95;414;95;410;0;0;0;0;0;0;0;0;0;0;0;0;35;84;35;75;35;419;35;419;0;0;0;0;0;0;0;0;0;0;0;0;30;61;25;59;60;411;55;404;82078;20578;37815;7813;44263;12765
Zeeland;2016;25;7;25;7;15;8;15;8;10;5;10;5;0;0;0;0;5;4;5;4;0;0;0;0;20;20;20;20;5;22;5;22;0;0;0;0;0;0;0;0;0;0;0;0;15;34;15;34;0;0;0;0;0;0;0;0;5;8;5;8;0;0;0;0;5;6;5;6;5;35;5;35;83623;20670;38601;7908;45022;12762
Zuid-Holland;2009;6315;181;4570;131;2245;130;1630;95;4070;230;2945;166;0;0;0;0;10;1;10;1;150;15;100;10;2090;347;1430;237;4060;2733;3030;2040;0;0;0;0;5;1;5;1;75;15;55;11;945;326;650;224;1220;2453;920;1857;0;0;0;0;0;0;0;0;75;15;50;10;1145;366;780;250;2845;2874;2110;2131;504029;134006;216626;44522;287403;89484
Zuid-Holland;2010;6280;179;4710;134;2240;129;1675;97;4040;227;3035;170;0;0;0;0;5;1;5;1;165;16;115;11;1960;318;1395;227;4150;2726;3195;2097;0;0;0;0;5;1;5;1;85;16;60;12;915;308;665;225;1235;2389;945;1824;0;0;0;0;0;0;0;0;80;16;55;11;1040;326;730;228;2915;2899;2250;2237;515399;136335;223184;45957;292215;90378
Zuid-Holland;2011;5005;141;3665;104;1810;104;1340;77;3195;178;2330;130;5;0;0;0;10;1;5;0;165;16;110;11;1645;262;1180;187;3180;2045;2370;1526;5;1;0;0;5;2;5;1;70;13;45;9;785;259;580;190;945;1766;705;1321;0;0;0;0;0;0;0;0;95;19;65;13;860;264;600;184;2235;2191;1665;1632;522334;139931;227659;47974;294675;91957
Zuid-Holland;2012;4560;128;3455;97;1670;95;1275;73;2890;160;2185;121;0;0;0;0;10;1;5;1;115;11;85;8;1475;229;1080;168;2960;1868;2285;1444;0;0;0;0;5;1;5;1;50;10;35;7;710;228;535;172;905;1632;695;1258;0;0;0;0;5;1;0;0;65;13;50;9;765;230;545;164;2055;1995;1590;1542;548539;142910;241677;49707;306862;93203
Zuid-Holland;2013;4195;118;3065;86;1490;84;1090;62;2710;150;1975;109;0;0;0;0;10;1;5;0;100;10;90;9;1380;210;980;149;2705;1687;1995;1244;0;0;0;0;5;1;0;0;45;9;40;8;615;193;440;139;825;1446;610;1068;0;0;0;0;5;1;0;0;55;11;50;10;765;225;535;158;1885;1819;1390;1341;569841;145452;253027;51317;316814;94135
Zuid-Holland;2014;3350;93;2635;73;1200;68;950;54;2150;118;1685;93;0;0;0;0;10;1;10;1;70;7;55;5;1060;158;815;121;2210;1357;1750;1075;0;0;0;0;5;1;5;1;35;7;30;6;460;142;365;112;700;1187;555;942;0;0;0;0;5;1;5;1;35;7;30;5;600;173;450;130;1510;1452;1200;1152;588388;147293;263229;52886;325159;94407
Zuid-Holland;2015;2955;82;2140;59;1090;61;795;45;1865;102;1345;74;0;0;0;0;5;1;5;0;65;7;40;4;1010;147;690;101;1870;1131;1405;850;0;0;0;0;5;1;0;0;35;7;25;5;450;135;305;91;600;984;465;767;0;0;0;0;0;0;0;0;30;6;20;4;560;158;390;110;1275;1217;940;898;605280;149950;272597;54824;332683;95126
Zuid-Holland;2016;2930;81;2195;60;1085;60;800;45;1845;100;1395;76;0;0;0;0;5;1;5;0;55;6;45;4;980;139;685;97;1890;1126;1465;873;0;0;0;0;5;1;5;1;30;6;25;5;450;131;310;91;600;962;460;737;0;0;0;0;0;0;0;0;25;5;20;4;530;147;370;103;1290;1224;1005;953;619694;151466;280803;56313;338891;95153
